name,city,country
"Weltcup, Wien 1990",Wien,
"Weltcup, Madonna di Campiglio 1990",Madonna di Campiglio,
"Weltcup, Berkeley 1990",Berkeley,
"Weltcup, Nürnberg 1990",Nürnberg,
"Weltcup, Lyon 1990",Lyon,
"Weltcup, Barcelona 1990",Barcelona,
IFSC Pan Am - Pre Qualifying event (C) - Los Angeles (USA) 2020,Los Angeles,USA
International Climbing Series - Studio Bloc Masters - Pfungstadt (GER) 2020,Pfungstadt,GER
Promo Event - Delfts Bleau International Youth Open - Delft (NED) 2020 - POSTPONED,Delft,NED
International Climbing Series - FISE World Series - Hiroshima (JPN) 2020 - POSTPONED,Hiroshima,JPN
International Climbing Series - Triglav The Rock - Ljubljana (SLO) 2020,Ljubljana,SLO
"Promo Event - Youth Petzen Climbing Trophy (L, S, B) - Petzen (AUT) 2020",Petzen,AUT
IFSC Connected Speed Knockout presented by Japan Airlines,,
FISU World University Championships - Torino (ITA) 2020 - CANCELLED,Torino,ITA
"Weltcup, Open, Wien 1990",Wien,
"Weltcup, Open, Madonna di Campiglio 1990",Madonna di Campiglio,
"Weltcup, Open, Berkeley 1990",Berkeley,
"Weltcup, Open, Nürnberg 1990",Nürnberg,
"Weltcup, Open, Lyon 1990",Lyon,
"Weltcup, Open, Barcelona 1990",Barcelona,
UIAA Worldcup - Wien 1991,Wien,
UIAA Worldcup - Clusone 1991,Clusone,
UIAA Worldcup - Innsbruck 1991,Innsbruck,
UIAA World Championship - Frankfurt 1991,Frankfurt,
UIAA Worldcup - Tokio 1991,Tokio,
UIAA Worldcup - Nürnberg 1991,Nürnberg,
UIAA Worldcup - Birmingham 1991,Birmingham,
"IFSC Europe - Continental Cup (L,S) - Belgrad (SRB) 2020 - CANCELLED",Belgrad,SRB
IFSC Europe - Continental Cup - Voronezh (RUS) - CANCELLED,Voronezh,RUS
Olympic Games -  Sport Climbing combined event -Tokyo (JPN) 2020,combined event -Tokyo,JPN
IFSC - Paraclimbing World Cup - Innsbruck (AUT) 2020 - POSTPONED,Innsbruck,AUT
"IFSC Youth - World Championships (B,S,L) - Voronezh (RUS) 2020 - CANCELLED",Voronezh,RUS
IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020,Los Angeles,USA
IFSC - Climbing World Cup (L) - Briançon (FRA) 2020,Briançon,FRA
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",Moscow,RUS
